UnixTimestamp,Hsig,Tz,Dirp,Tp,Tsea
1662973560,1.09,4.348,28.1,6.25,8.65
1662975360,1.05,4.348,22.5,5.88,8.8
1662977160,0.97,4.167,26.7,5.56,9
1662978960,1.01,4.211,28.1,5.88,9.1
1662980760,0.92,4.082,30.9,5.88,9.25
1662982560,0.9,4.082,21.1,5.56,9.3
1662984360,0.86,4.082,26.7,5.88,9.5
1662986160,0.89,4.124,25.3,5.56,9.65
1662987960,0.85,4.082,26.7,5.56,9.75
1662989760,0.82,4.04,28.1,5.56,9.75
1662991560,0.78,3.96,23.9,5.56,9.8
1662993360,0.81,4.04,21.1,5.56,9.9
1662995160,0.76,3.922,26.7,4.76,9.95
1662996960,0.78,4,19.7,5.56,10
1662998760,0.77,4.04,15.5,5.56,10.1
1663000560,0.75,3.96,15.5,5.56,10.05
1663002360,0.75,4,19.7,5.26,10.05
1663004160,0.73,3.883,16.9,5.56,10.1
1663005960,0.71,3.922,15.5,5.26,10.15
1663007760,0.67,3.846,15.5,5.56,10.15
1663009560,0.66,3.846,15.5,5.56,10.2
1663011360,0.63,3.846,15.5,5.56,10.2
1663013160,0.64,3.883,14.1,5.56,10.2
1663014960,0.54,3.81,12.7,5.56,10.2
1663016760,0.52,3.774,16.9,5.26,10.2
1663018560,0.51,3.738,14.1,5.56,10.15
1663020360,0.51,3.846,14.1,5.26,10.15
1663022160,0.49,3.774,15.5,5.26,10.15
1663023960,0.45,3.738,11.3,5.56,10.2
1663025760,0.42,3.738,16.9,5,10.2
1663027560,0.44,3.81,15.5,5.26,10.2
1663029360,0.41,3.81,12.7,5.26,10.2
1663031160,0.4,3.846,15.5,5,10.2
1663032960,0.38,3.883,14.1,5,10.2
1663034760,0.36,3.774,14.1,5,10.25
1663036560,0.39,3.96,12.7,5,10.25
1663038360,0.33,3.81,11.3,4.76,10.25
1663040160,0.34,3.846,19.7,4.76,10.2
1663041960,0.35,3.922,21.1,4.76,10.15
1663043760,0.34,3.883,19.7,4.55,10.05
1663045560,0.34,3.883,21.1,4.76,10
1663047360,0.3,3.774,29.5,4.17,9.9
1663049160,0.29,3.96,28.1,4.76,9.7
1663050960,0.29,3.846,29.5,4.55,9.5
1663052760,0.27,3.846,39.4,4.55,9.4
1663054560,0.26,3.81,29.5,4.76,9.45
1663056360,0.24,3.704,23.9,4.76,9.45
1663058160,0.22,3.604,39.4,4.55,9.55
1663059960,0.23,3.448,45,4.35,9.55
1663061760,0.22,3.077,39.4,4.55,9.7
1663063560,0.21,2.759,43.6,4.17,9.75
1663065360,0.23,2.649,29.5,4.35,9.75
1663067160,0.25,2.564,32.3,4.35,9.75
1663068960,0.27,2.548,94.2,2.56,9.7
1663070760,0.31,2.632,92.8,2.63,9.75
1663072560,0.32,2.632,97,2.63,9.8
1663074360,0.31,2.614,101.3,2.44,9.85
1663076160,0.29,2.581,99.8,2.27,9.85
1663077960,0.27,2.614,94.2,2.27,9.9
1663079760,0.27,2.721,54.8,3.85,9.95
1663081560,0.28,2.74,291.1,4.17,9.95
1663083360,0.3,2.649,292.5,4.17,9.95
1663085160,0.33,2.797,299.5,4.55,9.95
1663086960,0.37,3.077,87.2,4.55,10
1663088760,0.41,3.252,279.8,5,10
