UnixTimestamp,Hsig,Tz,Dirp,Tp,Tsea
1662972180,1.07,3.96,33.8,6.25,17
1662973980,1.08,3.96,33.8,5.88,17.05
1662975780,1.08,3.96,33.8,5.88,17.1
1662977580,1.05,4,32.3,5.88,17.2
1662979380,0.95,3.846,30.9,5.88,17.3
1662981180,0.92,3.846,26.7,5.88,17.3
1662982980,0.96,3.883,29.5,5.56,17.35
1662984780,0.92,3.774,35.2,5.88,17.4
1662986580,0.9,3.81,29.5,5.56,17.45
1662988380,0.87,3.81,36.6,5.56,17.5
1662990180,0.84,3.81,30.9,5.26,17.6
1662991980,0.84,3.81,30.9,5.26,17.65
1662993780,0.78,3.846,28.1,5.56,17.7
1662995580,0.77,3.704,29.5,5.26,17.65
1662997380,0.76,3.636,28.1,5.26,17.75
1662999180,0.78,3.704,11.3,4.76,17.7
1663000980,0.74,3.738,18.3,5.56,17.75
1663002780,0.71,3.636,22.5,5.56,17.7
1663004580,0.71,3.571,19.7,5.56,17.7
1663006380,0.76,3.604,22.5,5.56,17.75
1663008180,0.69,3.509,19.7,5.56,17.8
1663009980,0.67,3.571,22.5,5.56,17.85
1663011780,0.61,3.448,22.5,5.56,17.85
1663013580,0.62,3.571,22.5,5.56,17.85
1663015380,0.59,3.478,23.9,5.26,17.9
1663017180,0.57,3.509,18.3,5.26,17.85
1663018980,0.53,3.478,29.5,5.26,17.9
1663020780,0.53,3.509,19.7,5.26,17.85
1663022580,0.5,3.448,22.5,5.26,17.85
1663024380,0.49,3.448,25.3,5,17.85
1663026180,0.49,3.571,25.3,5.26,17.85
1663027980,0.46,3.478,23.9,5,17.85
1663029780,0.43,3.54,25.3,5,17.8
1663031580,0.42,3.54,22.5,5.26,17.8
1663033380,0.42,3.54,26.7,5.26,17.85
1663035180,0.41,3.704,29.5,5,17.8
1663036980,0.38,3.636,29.5,5,17.8
1663038780,0.38,3.774,25.3,5,17.8
1663040580,0.38,3.846,32.3,4.76,17.8
1663042380,0.35,3.883,28.1,4.76,17.75
1663044180,0.35,4.04,36.6,4.55,17.65
1663045980,0.34,4.167,36.6,4.76,17.6
1663047780,0.33,4.124,43.6,5,17.55
1663049580,0.31,4.082,39.4,4.76,17.5
1663051380,0.27,3.922,36.6,4.76,17.5
1663053180,0.27,3.883,36.6,4.55,17.45
1663054980,0.23,3.636,33.8,4.76,17.4
1663056780,0.24,3.478,36.6,4.76,17.4
1663058580,0.22,2.899,30.9,4.76,17.45
1663060380,0.24,2.395,35.2,4.55,17.45
1663062180,0.23,2.312,23.9,4.76,17.45
1663063980,0.25,2.139,25.3,4.76,17.45
1663065780,0.27,2.083,128,1.79,17.35
1663067580,0.27,2.105,129.4,1.72,17.35
1663069380,0.28,2.105,123.8,1.79,17.35
1663071180,0.28,2.151,129.4,1.72,17.4
1663072980,0.28,2.073,130.8,1.82,17.25
1663074780,0.23,2.222,122.3,1.89,17.2
1663076580,0.18,2.516,83,4,17.1
1663078380,0.18,2.597,84.4,4.35,17.2
1663080180,0.18,2.439,87.2,4.17,17.05
1663081980,0.18,2.5,97,3.85,17
1663083780,0.22,2.367,229.2,1.75,17
1663085580,0.19,2.581,102.7,3.7,16.95
1663087380,0.18,2.74,108.3,3.7,16.9
1663089180,0.18,2.797,322,6.67,16.85
1663090980,0.2,2.759,323.4,6.67,16.8
1663092780,0.22,3.252,323.4,6.67,16.75
1663094580,0.26,3.81,322,5.56,16.65
1663096380,0.32,4.124,313.6,5.88,16.6
1663098180,0.29,3.67,310.8,5.88,16.55
1663099980,0.31,3.81,313.6,5.88,16.6
1663101780,0.31,3.636,308,5.88,16.6
1663103580,0.32,3.704,317.8,6.25,16.55
1663105380,0.33,3.636,312.2,6.25,16.55
1663107180,0.36,3.67,313.6,6.25,16.55
1663108980,0.39,3.67,316.4,6.25,16.5
1663110780,0.4,3.361,313.6,6.25,16.45
1663112580,0.44,3.333,320.6,6.25,16.5
1663114380,0.48,3.478,312.2,5.88,16.45
1663116180,0.47,3.39,320.6,6.25,16.45
1663117980,0.5,3.54,317.8,6.25,16.5
1663119780,0.5,3.39,320.6,6.25,16.45
1663121580,0.52,3.604,320.6,6.25,16.45
1663123380,0.5,3.604,323.4,6.67,16.4
1663125180,0.54,3.883,326.3,6.67,16.4
1663126980,0.59,4.124,327.7,7.69,16.3
1663128780,0.55,3.883,329.1,7.69,16.35
1663130580,0.58,3.922,324.8,7.14,16.3
1663132380,0.51,3.81,330.5,7.69,16.25
1663134180,0.52,4.167,322,8.33,16.25
1663135980,0.6,4.348,323.4,7.69,16.2
1663137780,0.61,4,324.8,7.69,16.15
1663139580,0.57,4.255,326.3,7.14,16.1
1663141380,0.57,4.396,329.1,7.14,15.7
1663143180,0.6,4.124,327.7,7.69,13.6
1663144980,0.64,3.922,324.8,7.69,10.8
1663146780,0.61,3.883,320.6,7.69,10.35
